Title,Ingredients,Recipe,Prep & Cooking Time
Herb Potatoes,500 g fingerling potatoes (rattes); 6 garlic cloves; 2 shallots; 6 sprigs chives; 10 basil leaves; 6 sprigs cilantro; 1 bay leaf; 1 sprig fresh thyme; 6 tbsp olive oil; Fleur de sel,"Peel and slice the shallots. Roughly chop the chives, basil, and cilantro. Wash and dry the fingerling potatoes. In a pan, sauté the garlic cloves, shallots, bay leaf, and thyme in oil over low heat for 5 minutes. Add the potatoes and brown them for 5 to 10 minutes. Cover and cook over low heat for 15 minutes, stirring occasionally until tender. Add the herbs and salt, then serve.","Preparation 10 minutes, Cooking 30 minutes"
Asparagus Goat Cheese Bulgur,"250 g bulgur; 2 shallots; 1 pinch saffron; 37.5 cl vegetable broth; 4 green asparagus spears; 2 Chavignol goat cheese rounds; 6 sprigs chives; 2 tbsp olive oil; Salt, pepper","Cut the asparagus into thin rounds and the goat cheese into strips. Peel and finely chop the shallots. In a non-stick pan, gently sauté the shallots in olive oil and add the bulgur. Let it brown. Moisten with vegetable broth, then add the saffron. Cook according to the package instructions, add the asparagus, stir, and cook for another 5 minutes. Season, arrange the goat cheese slices, and sprinkle with chives.","Preparation 10 minutes, Cooking 15 minutes"
Butternut Tofu Bulgur,"100 g bulgur; 1 shallot; 200 g butternut squash; 100 g tofu; 1 tsp Herbes de Provence; 1 lemon; 200 g vegetable broth; 2 tbsp olive oil; Salt, pepper","Peel and finely chop the shallot. Peel and cut the squash into small 1 cm cubes; do the same with the tofu. In a pan, sauté the shallot and squash in olive oil. Add the bulgur and Herbes de Provence, moisten with vegetable broth, and cook for 10 minutes. Zest and juice the lemon. Add both to the mixture and season.","Preparation 15 minutes, Cooking 15 minutes"
Vegetable Risotto,"300 g arborio rice; 1 carrot; 1 zucchini; 1 red bell pepper; 1 celery stalk; 3 garlic cloves; 60 cl vegetable broth; 50 g butter; 80 g parmesan cheese; Salt, pepper","Peel the carrot and slice into rounds. Slice the zucchini, celery, and bell pepper into small cubes. Peel and finely chop the garlic. In a non-stick pan, sauté all the vegetables with the garlic in butter for 5 minutes. Add the rice and gradually ladle in the broth until the rice is cooked, about 20 minutes. Season and sprinkle with grated parmesan.","Preparation 15 minutes, Cooking 25 minutes"
Endive Roquefort,"4 nice pale endives; 60 g Roquefort cheese; 50 g hazelnuts; 20 cl vegetable broth; 6 sprigs chives; 5 tbsp olive oil; Salt, pepper","Finely chop the chives. Cut the endives into quarters lengthwise. Crumble the Roquefort. Roughly crush the hazelnuts. In a non-stick pan, brown the endives in olive oil over high heat. Moisten with vegetable broth and allow to evaporate completely. Add the crumbled Roquefort, crushed hazelnuts, and chives, then season.","Preparation 5 minutes, Cooking 15 minutes"
Zucchini Curry,"500 g round zucchinis; 2 onions; 1 pinch saffron; 1 orange; 20 cl coconut milk; 2 tbsp olive oil; Salt, pepper","Peel and finely chop the onions. Cut the round zucchinis into quarters. Zest and juice the orange. In a pan, sauté the onions in olive oil, add the zucchinis and orange juice, and let reduce. Moisten with coconut milk, add the saffron and orange zest, then season.","Preparation 5 minutes, Cooking 10 minutes"
Green Vegetables Trofie,"150 g trofie pasta; 150 g fresh shelled peas; 150 g snow peas; 3 garlic cloves; 1 onion; 50 g almonds; 50 g dried cranberries; 50 cl vegetable broth; 3 tbsp olive oil; Salt, pepper","Peel and slice the garlic and onion. String the snow peas. Roughly chop the almonds. In a non-stick pan, sauté the garlic and onion in oil over low heat. Moisten with broth, add the snow peas, and cook for 5 minutes. Add the trofie, cook for another 5 minutes, then add the peas and cranberries. Cook for an additional 5 minutes and season. Sprinkle with almonds before serving.","Preparation 15 minutes, Cooking 15 minutes"
Brussels Sprouts Feta Raisin,"400 g Brussels sprouts; 100 g feta cheese; 50 g golden raisins; 10 cl vegetable broth; 3 tbsp olive oil; Salt, pepper","Halve the Brussels sprouts and rinse them. Cut the feta into 1 cm cubes. In a pan, sauté the Brussels sprouts over low heat to glaze them. Add the vegetable broth and raisins, and cook over low heat for 10 minutes. Season and add the feta before serving.","Preparation 10 minutes, Cooking 10 minutes"
Eggplant Hazelnut Coriander,1 black eggplant; 1 pink eggplant; 1 white eggplant; 3 onions; 50 g hazelnuts; 3 sprigs cilantro; 10 cl olive oil; Fleur de sel,"Cut the eggplants into 1 cm cubes. Peel the onions and cut into quarters. Roughly crush the hazelnuts. In a pan, sauté the eggplant cubes in olive oil with the onions. Let cook over low heat for 20 minutes, add the hazelnuts, and cook for another 5 minutes. Season and sprinkle with cilantro leaves before serving.","Preparation 10 minutes, Cooking 25 minutes"
Eggplant Tomato Black Olive,2 black eggplants; 200 g cherry tomatoes; 50 g Greek-style black olives; 3 onions; 3 garlic cloves; 10 cl olive oil; 4 sprigs mint; 1 tbsp pepper; Salt,"Cut the eggplants into 1 cm cubes. Cut the cherry tomatoes and olives in half. Peel and roughly slice the onions and garlic. In a pan, sauté the eggplants with the olives, onions, and garlic for 15 minutes. Add the cherry tomatoes and cook for another 10 minutes. Season and add fresh mint leaves.","Preparation 15 minutes, Cooking 25 minutes"
Egg Salmon Dill,4 eggs; 2 slices smoked salmon; 3 sprigs dill; 80 g mascarpone; 1 onion; 2 tbsp olive oil; Fleur de sel,"Peel and slice the onion. In a non-stick pan, sauté the onion in oil over low heat for 5 minutes. Crack the eggs, add the smoked salmon cut into strips, and cook for another 3 minutes. Season and sprinkle with dill sprigs. Serve with a quenelle of mascarpone.","Preparation 5 minutes, Cooking 8 minutes"
Egg Crouton Fourme Cheese,"4 eggs; 2 slices dark bread; 80 g Fourme d'Ambert cheese; 4 sprigs chives; 50 g butter; Salt, pepper","Finely chop the chives. Cut the bread and cheese into small cubes. In a non-stick pan, sauté the croutons in butter for 2 minutes. Crack the eggs and immediately cover with the cheese cubes. Cook over low heat for 3 minutes, season, and sprinkle with chives.","Preparation 5 minutes, Cooking 5 minutes"
Bell Pepper Egg,"4 eggs; 1 red bell pepper; ½ green bell pepper; ½ yellow bell pepper; 1 onion; 3 tbsp olive oil; Salt, pepper","Cut 4 nice thick rings from the red bell pepper. Dice the rest of the peppers. Peel and slice the onion. In a non-stick pan, sauté the diced peppers, onion, and red pepper rings in oil over low heat for 7 minutes. Crack the eggs inside the pepper rings and cook for another 3 minutes. Season.","Preparation 10 minutes, Cooking 10 minutes"
British Egg,"4 eggs; 8 thin slices smoked bacon; 12 vine cherry tomatoes; 12 button mushrooms; 50 g butter; Salt, pepper","Quarter the mushrooms. In a non-stick pan, sauté the bacon with the mushrooms and tomatoes in butter over low heat for 7 minutes. Push them to the side of the pan, crack the eggs, and cook for 3 minutes. Season.","Preparation 5 minutes, Cooking 10 minutes"
Hake Pilaf Rice,"4 hake fillets; 200 g basmati rice; 1 onion; 1 garlic clove; 50 cl vegetable broth; 3 tbsp olive oil; 30 g butter; Salt, pepper","Peel and chop the onion and garlic. In a pan, sauté the onion and garlic in 1 tbsp olive oil and the butter. Add the rice and cook until translucent. Moisten with vegetable broth, cover, and cook for 15 minutes. In another pan, cook the hake fillets in the remaining olive oil for 4 minutes on each side. Season and serve with pilaf rice.","Preparation 10 minutes, Cooking 20 minutes"
Chorizo Mussels,"1 kg mussels; 100 g chorizo; 1 onion; 2 garlic cloves; 10 cl white wine; 2 tbsp olive oil; 4 sprigs parsley; Salt, pepper","Clean and scrub the mussels. Peel and chop the onion and garlic. Dice the chorizo. In a large pan or Dutch oven, sauté the onion, garlic, and chorizo in olive oil for 5 minutes. Add the mussels, pour in the white wine, cover, and cook over high heat for 5 minutes until the mussels open. Sprinkle with chopped parsley and season.","Preparation 15 minutes, Cooking 10 minutes"
Hake Bell Pepper,"4 hake fillets; 1 red bell pepper; 1 yellow bell pepper; 1 onion; 2 garlic cloves; 3 tbsp olive oil; Salt, pepper","Peel and slice the onion and garlic. Deseed and cut the bell peppers into strips. In a pan, sauté the onion, garlic, and peppers in 2 tbsp olive oil for 15 minutes until tender. Push to one side of the pan and cook the hake fillets in the remaining olive oil for 4 minutes on each side. Season.","Preparation 10 minutes, Cooking 20 minutes"
Scallop Butternut Squash,"12 sea scallops; 400 g butternut squash; 1 shallot; 40 g butter; 2 tbsp olive oil; Salt, pepper","Peel the squash and cut into small cubes. Peel and chop the shallot. In a pan, sauté the shallot and squash in 20 g butter and olive oil over low heat for 15 minutes until tender. In another very hot pan, sear the scallops in the remaining butter for 1 to 2 minutes on each side. Season and serve immediately with the squash.","Preparation 15 minutes, Cooking 20 minutes"
Scallop Leek,"12 sea scallops; 3 leeks; 1 shallot; 20 cl heavy cream; 40 g butter; 1 tbsp olive oil; Salt, pepper","Clean and slice the leeks. Peel and chop the shallot. In a pan, sauté the shallot and leeks in 20 g butter for 15 minutes. Add the heavy cream and reduce by half. In another hot pan, sear the scallops in the remaining butter and olive oil for 1 to 2 minutes per side. Season and serve the leek fondue topped with the scallops.","Preparation 15 minutes, Cooking 20 minutes"
Cod Fennel Citrus,"4 cod loins; 2 fennel bulbs; 1 orange; 1 grapefruit; 3 tbsp olive oil; Salt, pepper","Finely slice the fennel. Segment the orange and grapefruit, reserving the juice. In a pan, sauté the fennel in 2 tbsp olive oil for 15 minutes. Add the citrus juice and reduce. Cook the cod loins in the remaining olive oil for 4 minutes on each side. Add the citrus segments at the end of cooking, season, and serve.","Preparation 15 minutes, Cooking 20 minutes"
Salmon Tagliatelle,"4 salmon fillets; 250 g tagliatelle; 20 cl heavy cream; 1 lemon; 4 sprigs dill; 2 tbsp olive oil; Salt, pepper","Cook the tagliatelle according to package instructions. In a pan, cook the salmon fillets in olive oil for 4 to 5 minutes on each side. In a saucepan, heat the cream with the lemon juice and chopped dill. Drain the pasta, toss with the lemon-cream sauce, season, and serve with the salmon fillets.","Preparation 10 minutes, Cooking 15 minutes"
Pork Tenderloin Prunes,"2 pork tenderloins; 150 g pitted prunes; 2 onions; 15 cl white wine; 30 g butter; 2 tbsp olive oil; Salt, pepper","Cut the pork tenderloins into medallions. Peel and slice the onions. In a pan, brown the meat in butter and olive oil for 5 minutes on each side, then set aside. In the same pan, sauté the onions, add the prunes, and deglaze with white wine. Return the meat to the pan and simmer over low heat for 15 minutes. Season.","Preparation 10 minutes, Cooking 25 minutes"
